Key,Translation
settingsPanel:fastInput:title,Ctrl + Alt + F
settingsPanel:kcno:label,KC_NO
settingsPanel:kctrns:label,KC_TRNS
settingsPanel:language:help,
settingsPanel:language:title,Język
settingsPanel:legendType:index,
settingsPanel:legendType:keymap,
settingsPanel:legendType:matrix,
settingsPanel:legendType:size,
settingsPanel:legends:help,
settingsPanel:legends:title,
settingsPanel:off:label,Wył
settingsPanel:on:label,Wł
settingsPanel:osKeyboardLayout:help,
settingsPanel:osKeyboardLayout:label:keymap_belgian,
settingsPanel:osKeyboardLayout:label:keymap_bepo,
settingsPanel:osKeyboardLayout:label:keymap_brazilian_abnt2,
settingsPanel:osKeyboardLayout:label:keymap_canadian_multilingual,
settingsPanel:osKeyboardLayout:label:keymap_colemak,
settingsPanel:osKeyboardLayout:label:keymap_croatian,
settingsPanel:osKeyboardLayout:label:keymap_czech,
settingsPanel:osKeyboardLayout:label:keymap_danish,
settingsPanel:osKeyboardLayout:label:keymap_dvorak,
settingsPanel:osKeyboardLayout:label:keymap_dvorak_fr,
settingsPanel:osKeyboardLayout:label:keymap_dvorak_programmer,
settingsPanel:osKeyboardLayout:label:keymap_estonian,
settingsPanel:osKeyboardLayout:label:keymap_finnish,
settingsPanel:osKeyboardLayout:label:keymap_french,
settingsPanel:osKeyboardLayout:label:keymap_french_afnor,
settingsPanel:osKeyboardLayout:label:keymap_french_mac_iso,
settingsPanel:osKeyboardLayout:label:keymap_german,Niemiecki (Niemcy i Austria)
settingsPanel:osKeyboardLayout:label:keymap_greek,
settingsPanel:osKeyboardLayout:label:keymap_hebrew,
settingsPanel:osKeyboardLayout:label:keymap_hungarian,
settingsPanel:osKeyboardLayout:label:keymap_icelandic,
settingsPanel:osKeyboardLayout:label:keymap_irish,
settingsPanel:osKeyboardLayout:label:keymap_italian,
settingsPanel:osKeyboardLayout:label:keymap_italian_mac_ansi,
settingsPanel:osKeyboardLayout:label:keymap_italian_mac_iso,
settingsPanel:osKeyboardLayout:label:keymap_japanese,
settingsPanel:osKeyboardLayout:label:keymap_korean,
settingsPanel:osKeyboardLayout:label:keymap_latvian,
settingsPanel:osKeyboardLayout:label:keymap_lithuanian_azerty,
settingsPanel:osKeyboardLayout:label:keymap_lithuanian_qwerty,
settingsPanel:osKeyboardLayout:label:keymap_neo2,
settingsPanel:osKeyboardLayout:label:keymap_norman,
settingsPanel:osKeyboardLayout:label:keymap_norwegian,
settingsPanel:osKeyboardLayout:label:keymap_polish,
settingsPanel:osKeyboardLayout:label:keymap_portuguese,
settingsPanel:osKeyboardLayout:label:keymap_portuguese_mac_iso,
settingsPanel:osKeyboardLayout:label:keymap_romanian,
settingsPanel:osKeyboardLayout:label:keymap_russian,Rosyjski
settingsPanel:osKeyboardLayout:label:keymap_serbian,
settingsPanel:osKeyboardLayout:label:keymap_serbian_latin,
settingsPanel:osKeyboardLayout:label:keymap_slovak,
settingsPanel:osKeyboardLayout:label:keymap_slovenian,
settingsPanel:osKeyboardLayout:label:keymap_spanish,
settingsPanel:osKeyboardLayout:label:keymap_spanish_dvorak,
settingsPanel:osKeyboardLayout:label:keymap_spanish_latin_america,
settingsPanel:osKeyboardLayout:label:keymap_swedish,
settingsPanel:osKeyboardLayout:label:keymap_swedish_mac_ansi,
settingsPanel:osKeyboardLayout:label:keymap_swedish_mac_iso,
settingsPanel:osKeyboardLayout:label:keymap_swedish_pro_mac_ansi,
settingsPanel:osKeyboardLayout:label:keymap_swedish_pro_mac_iso,
settingsPanel:osKeyboardLayout:label:keymap_swiss_de,
settingsPanel:osKeyboardLayout:label:keymap_swiss_fr,
settingsPanel:osKeyboardLayout:label:keymap_turkish_f,
settingsPanel:osKeyboardLayout:label:keymap_turkish_q,
settingsPanel:osKeyboardLayout:label:keymap_uk,Angielski (UK)
