Key,Translation
settingsPanel:osKeyboardLayout:option:keymap_canadian_multilingual,Français (canadien multilingue)
settingsPanel:osKeyboardLayout:option:keymap_colemak,Colemak
settingsPanel:osKeyboardLayout:option:keymap_croatian,Croate (Croatie)
settingsPanel:osKeyboardLayout:option:keymap_czech,Tchèque (République Tchèque)
settingsPanel:osKeyboardLayout:option:keymap_danish,Danois (Danemark)
settingsPanel:osKeyboardLayout:option:keymap_dvorak,Dvorak (DSK)
settingsPanel:osKeyboardLayout:option:keymap_dvorak_fr,Français (Dvorak)
settingsPanel:osKeyboardLayout:option:keymap_dvorak_programmer,Dvorak du programmeur
settingsPanel:osKeyboardLayout:option:keymap_estonian,Estonien (Estonie)
settingsPanel:osKeyboardLayout:option:keymap_finnish,Finnois (Finlande)
settingsPanel:osKeyboardLayout:option:keymap_french,Français (France)
settingsPanel:osKeyboardLayout:option:keymap_french_afnor,Français (AFNOR)
settingsPanel:osKeyboardLayout:option:keymap_french_mac_iso,Français (Mac ISO)
settingsPanel:osKeyboardLayout:option:keymap_german,Allemand (Allemagne et Autriche)
settingsPanel:osKeyboardLayout:option:keymap_greek,Grec (Grèce)
settingsPanel:osKeyboardLayout:option:keymap_hebrew,Hébreu (Israël)
settingsPanel:osKeyboardLayout:option:keymap_hungarian,Hongrois (Hongrie)
settingsPanel:osKeyboardLayout:option:keymap_icelandic,Islandais (Islande)
settingsPanel:osKeyboardLayout:option:keymap_irish,Anglais (Irlande)
settingsPanel:osKeyboardLayout:option:keymap_italian,Italien (Italie)
settingsPanel:osKeyboardLayout:option:keymap_italian_mac_ansi,Italien (Mac ANSI)
settingsPanel:osKeyboardLayout:option:keymap_italian_mac_iso,Italien (Mac ISO)
settingsPanel:osKeyboardLayout:option:keymap_japanese,Japonais JP106 (Japon)
settingsPanel:osKeyboardLayout:option:keymap_korean,Coréen (Corée du Sud)
settingsPanel:osKeyboardLayout:option:keymap_latvian,Letton (Lettonie)
settingsPanel:osKeyboardLayout:option:keymap_lithuanian_azerty,Lituanien AZERTY (Lituanie)
settingsPanel:osKeyboardLayout:option:keymap_lithuanian_qwerty,Lituanien QWERTY (Lituanie)
settingsPanel:osKeyboardLayout:option:keymap_neo2,Allemand (NEO 2)
settingsPanel:osKeyboardLayout:option:keymap_norman,Norman
settingsPanel:osKeyboardLayout:option:keymap_norwegian,Norvégien (Norvège)
settingsPanel:osKeyboardLayout:option:keymap_polish,Polonais (Pologne)
settingsPanel:osKeyboardLayout:option:keymap_portuguese,Portugais (Portugal)
settingsPanel:osKeyboardLayout:option:keymap_portuguese_mac_iso,Portugais (Mac ISO)
settingsPanel:osKeyboardLayout:option:keymap_romanian,Roumain (Roumanie)
settingsPanel:osKeyboardLayout:option:keymap_russian,Russe (Russie)
settingsPanel:osKeyboardLayout:option:keymap_serbian,Cyrillique serbe (Serbie)
settingsPanel:osKeyboardLayout:option:keymap_serbian_latin,Latin Serbe (Serbie)
settingsPanel:osKeyboardLayout:option:keymap_slovak,Slovaque (Slovaquie)
settingsPanel:osKeyboardLayout:option:keymap_slovenian,Slovène (Slovénie)
settingsPanel:osKeyboardLayout:option:keymap_spanish,Espagnol (Espagne)
settingsPanel:osKeyboardLayout:option:keymap_spanish_dvorak,Espagnol (Dvorak)
settingsPanel:osKeyboardLayout:option:keymap_spanish_latin_america,Espagnol (Amérique latine)
settingsPanel:osKeyboardLayout:option:keymap_swedish,Suédois (Suède)
settingsPanel:osKeyboardLayout:option:keymap_swedish_mac_ansi,Suédois (Mac ANSI)
settingsPanel:osKeyboardLayout:option:keymap_swedish_mac_iso,Suédois (Mac ISO)
settingsPanel:osKeyboardLayout:option:keymap_swedish_pro_mac_ansi,Suédois (Mac Pro ANSI)
settingsPanel:osKeyboardLayout:option:keymap_swedish_pro_mac_iso,Suédois (Mac Pro ISO)
settingsPanel:osKeyboardLayout:option:keymap_swiss_de,Allemand (Suisse)
settingsPanel:osKeyboardLayout:option:keymap_swiss_fr,Français (Suisse)
settingsPanel:osKeyboardLayout:option:keymap_turkish_f,Turc F (Turquie)
settingsPanel:osKeyboardLayout:option:keymap_turkish_q,Turc Q (Turquie)
settingsPanel:osKeyboardLayout:option:keymap_uk,Anglais (Royaume-Uni)
settingsPanel:osKeyboardLayout:option:keymap_ukrainian,Ukrainien (Ukraine)
settingsPanel:osKeyboardLayout:option:keymap_us,Anglais (US)
settingsPanel:osKeyboardLayout:option:keymap_us_extended,Anglais (US Étendu)
settingsPanel:osKeyboardLayout:option:keymap_us_international,Anglais (US International)
settingsPanel:osKeyboardLayout:option:keymap_us_international_linux,Anglais (US International Linux)
settingsPanel:osKeyboardLayout:option:keymap_workman,Workman
settingsPanel:osKeyboardLayout:option:keymap_workman_zxcvm,Workman ZXCVM
settingsPanel:osKeyboardLayout:label,Disposition des touches du système d'opération
settingsPanel:snowflakes:label,
settingsPanel:toggleTutorial:help,Guide vidéo de MechMerlin (en anglais)
settingsPanel:toggleTutorial:label,Guide Vidéo
settingsPanel:printing:heading,
settingsPanel:printing:useBlankForUnassigned:label,
settingsPanel:printing:useBlankForUnassigned:help,
settingsPanel:printing:applyDisabledStyleForUnassigned:label,
settingsPanel:printing:applyDisabledStyleForUnassigned:help,
testKeys:label,Testeur de clavier
testKeys:title,Teste le clavier
tester:back:label,Retour
tester:back:title,Retour au configurateur
tester:chatter:detectedAlert,Activations répétées détectées (chatter)
tester:chatter:label,Seuil de détection d'activations répétées (chatter)(ms)
tester:docs:paragraph,Note: La touche et le code détectés peuvent varier selon votre localisation. Docs
tester:keycodeStatus:label,Touches Détectées
tester:letters:code:label,code
tester:letters:key:label,touche
tester:letters:keycode:label,code de la touche
tester:page:label,Testeur De Clavier
tester:reset:label,Réinitialiser
tester:reset:title,Réinitialise les touches détectées
tester:typewritericon:label,
toggleTerminal:label,
toggleTerminal:title,
