Key,Translation
settingsPanel:kctrns:label,KC_TRNS
settingsPanel:language:help,
settingsPanel:language:title,Sprache
settingsPanel:off:label,Aus
settingsPanel:on:label,An
settingsPanel:snowflakes:label,
settingsPanel:snowflakes:title,
settingsPanel:title,Einstellungen
settingsPanel:toggleTutorial:help,MechMerlin's Videohilfe
settingsPanel:toggleTutorial:label,Video-Tutorial
testKeys:label,Tastatur testen
testKeys:title,Tastendrücke testen
tester:back:label,Zurück
tester:back:title,Zurück zur Konfiguration
tester:chatter:detectedAlert,Mehrfachaktivierung erkannt (chatter)!
tester:chatter:label,Erkennungsschwelle für Mehrfachaktivierung einer Taste (chatter) (ms)
tester:docs:paragraph,Anmerkung: Erfasste Tasten und Codes können sich je nach verwendeter Sprache unterscheiden. Docs
tester:keycodeStatus:label,Tastencodes erfasst
tester:letters:code:label,Code
tester:letters:key:label,Taste
tester:letters:keycode:label,Tastencode
tester:page:label,Tastentester
tester:reset:label,Zurücksetzen
tester:reset:title,Erfasste Tasten zurücksetzen
tester:typewritericon:label,
toggleTerminal:label,
toggleTerminal:title,
