Key,Translation
settingsPanel:osKeyboardLayout:option:keymap_colemak,
settingsPanel:osKeyboardLayout:option:keymap_croatian,
settingsPanel:osKeyboardLayout:option:keymap_czech,
settingsPanel:osKeyboardLayout:option:keymap_danish,
settingsPanel:osKeyboardLayout:option:keymap_dvorak,
settingsPanel:osKeyboardLayout:option:keymap_dvorak_fr,
settingsPanel:osKeyboardLayout:option:keymap_dvorak_programmer,
settingsPanel:osKeyboardLayout:option:keymap_estonian,
settingsPanel:osKeyboardLayout:option:keymap_finnish,
settingsPanel:osKeyboardLayout:option:keymap_french,
settingsPanel:osKeyboardLayout:option:keymap_french_afnor,
settingsPanel:osKeyboardLayout:option:keymap_french_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_german,Tedesco (Germania e Austria)
settingsPanel:osKeyboardLayout:option:keymap_greek,
settingsPanel:osKeyboardLayout:option:keymap_hebrew,
settingsPanel:osKeyboardLayout:option:keymap_hungarian,
settingsPanel:osKeyboardLayout:option:keymap_icelandic,
settingsPanel:osKeyboardLayout:option:keymap_irish,
settingsPanel:osKeyboardLayout:option:keymap_italian,
settingsPanel:osKeyboardLayout:option:keymap_italian_mac_ansi,
settingsPanel:osKeyboardLayout:option:keymap_italian_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_japanese,
settingsPanel:osKeyboardLayout:option:keymap_korean,
settingsPanel:osKeyboardLayout:option:keymap_latvian,
settingsPanel:osKeyboardLayout:option:keymap_lithuanian_azerty,
settingsPanel:osKeyboardLayout:option:keymap_lithuanian_qwerty,
settingsPanel:osKeyboardLayout:option:keymap_neo2,
settingsPanel:osKeyboardLayout:option:keymap_norman,
settingsPanel:osKeyboardLayout:option:keymap_norwegian,
settingsPanel:osKeyboardLayout:option:keymap_polish,
settingsPanel:osKeyboardLayout:option:keymap_portuguese,
settingsPanel:osKeyboardLayout:option:keymap_portuguese_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_romanian,
settingsPanel:osKeyboardLayout:option:keymap_russian,Russo
settingsPanel:osKeyboardLayout:option:keymap_serbian,
settingsPanel:osKeyboardLayout:option:keymap_serbian_latin,
settingsPanel:osKeyboardLayout:option:keymap_slovak,
settingsPanel:osKeyboardLayout:option:keymap_slovenian,
settingsPanel:osKeyboardLayout:option:keymap_spanish,
settingsPanel:osKeyboardLayout:option:keymap_spanish_dvorak,
settingsPanel:osKeyboardLayout:option:keymap_spanish_latin_america,
settingsPanel:osKeyboardLayout:option:keymap_swedish,
settingsPanel:osKeyboardLayout:option:keymap_swedish_mac_ansi,
settingsPanel:osKeyboardLayout:option:keymap_swedish_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_swedish_pro_mac_ansi,
settingsPanel:osKeyboardLayout:option:keymap_swedish_pro_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_swiss_de,
settingsPanel:osKeyboardLayout:option:keymap_swiss_fr,
settingsPanel:osKeyboardLayout:option:keymap_turkish_f,
settingsPanel:osKeyboardLayout:option:keymap_turkish_q,
settingsPanel:osKeyboardLayout:option:keymap_uk,Inglese (Regno Unito)
settingsPanel:osKeyboardLayout:option:keymap_ukrainian,
settingsPanel:osKeyboardLayout:option:keymap_us,Inglese (US)
settingsPanel:osKeyboardLayout:option:keymap_us_extended,
settingsPanel:osKeyboardLayout:option:keymap_us_international,
settingsPanel:osKeyboardLayout:option:keymap_us_international_linux,
settingsPanel:osKeyboardLayout:option:keymap_workman,
settingsPanel:osKeyboardLayout:option:keymap_workman_zxcvm,
settingsPanel:osKeyboardLayout:label,
settingsPanel:snowflakes:label,Azionare fiocchi di neve
settingsPanel:toggleTutorial:help,MechMerlin Configurazione QMK Video Tutorial
settingsPanel:toggleTutorial:label,Video Tutorial
settingsPanel:printing:heading,
settingsPanel:printing:useBlankForUnassigned:label,
settingsPanel:printing:useBlankForUnassigned:help,
settingsPanel:printing:applyDisabledStyleForUnassigned:label,
settingsPanel:printing:applyDisabledStyleForUnassigned:help,
testKeys:label,Prova tastiera
testKeys:title,Prova ingresso tastiera
tester:back:label,Indietro
tester:back:title,Torna al Configuratore
tester:chatter:detectedAlert,Le comunicazioni sono state rilevate!
tester:chatter:label,Soglia di comunicazioni (ms)
tester:docs:paragraph,Nota: la chiave e il codice rilevati possono essere diversi a seconda della vostra posizione. Docs
tester:keycodeStatus:label,Codici chiave rilevati
tester:letters:code:label,codice
tester:letters:key:label,chiave
tester:letters:keycode:label,codici chiave
tester:page:label,Collaudatore di tastiera
tester:reset:label,Reimpostato
tester:reset:title,Reimposta le chiavi rilevate
tester:typewritericon:label,Clicca per ascoltare i suoni della macchina da scrivere durante il test
toggleTerminal:label,Clicca per espandere
toggleTerminal:title,Azionare il videoterminale
